type	by	post_message	picture	link	link_domain	post_published	post_published_unix	likes	likes_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
link	post_user_166283443520449	Democracia é permitir que diversos pontos de vista sejam expostos e discutidos. Já postei a matéria abaixo_ (e provavelmente alguém que administra esta página a retirou). Envio novamente_  e estou aguardando um pronunciamento da Marina Silva sobre o contido na matéria de _O Globo_.  http://oglobo.globo.com/pais/sirkis-diz-que-rede-deu-mole-faz-duras-criticas-marina-2-10252157	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBpizNwRf0v8JcI&w=154&h=154&url=http%3A%2F%2Foglobo.globo.com%2Fin%2F10252629-f50-d5e%2FFT631A%2F2011-389576258-2011051295703.jpg_20110512-4.jpg	http://oglobo.globo.com/pais/sirkis-diz-que-rede-deu-mole-faz-duras-criticas-marina-2-10252157	oglobo.globo.com	2013-10-06T02:11:18+0000	1381025478	0	0	0	0	0	0	0	0	166283443520449_666762246667933	https://www.facebook.com/166283443520449/posts/666762246667933
link	post_user_166283443520449	Democracia é permitir que diversos pontos de vista sejam expostos e discutidos. Já postei a matéria abaixo_ (e provavelmente alguém que administra esta página a retirou). Envio novamente_  e estou aguardando um pronunciamento da Marina Silva sobre o contido na matéria de _O Globo_.  http://oglobo.globo.com/pais/sirkis-diz-que-rede-deu-mole-faz-duras-criticas-marina-2-10252157	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBpizNwRf0v8JcI&w=154&h=154&url=http%3A%2F%2Foglobo.globo.com%2Fin%2F10252629-f50-d5e%2FFT631A%2F2011-389576258-2011051295703.jpg_20110512-4.jpg	http://oglobo.globo.com/pais/sirkis-diz-que-rede-deu-mole-faz-duras-criticas-marina-2-10252157	oglobo.globo.com	2013-10-06T02:10:12+0000	1381025412	0	0	0	0	0	0	0	0	166283443520449_666761860001305	https://www.facebook.com/166283443520449/posts/666761860001305
status	post_user_166283443520449	Gostaria de saber como filiar ao Partido_ sou filiado ao PT_ mas não participo mais há 09 anos. Será que minha cidade tem diretório sou de Itapetininga-SP?				2013-10-06T01:02:08+0000	1381021328	1	1	1	1	0	0	0	2	166283443520449_246036918878434	https://www.facebook.com/166283443520449/posts/246036918878434
status	post_user_166283443520449	Prezada e abençoada Senadora Marina Silva!  Sou de São João de Meriti/RJ e como Pastor Batista desejo estar intercedendo para que nosso amado país tenha governantes decentes e honestos.  Uma área de tensão que precisa de um olhar humano é a saúde e penso que é possível ter uma saúde digna.  • Prezada! A solução só virá quando pararem de fazer política com a saúde e fazerem política de saúde e isto só é possível se os que entendem de saúde forem valorizados e responsáveis pela execução das ações de saúde.   • Um sistema público de saúde que seja realmente universal_ equânime e integral só será possível quando sair do papel e fizer parte integrante do viver social de toda a sociedade_ onde democracia não é um jargão usado por conveniência_ mas praticado no cotidiano de todos nós. Quando o nível dos políticos e de todos os envolvidos na gestão de saúde for da demanda de um viver moral_ ético e com valores que transcendem a ideia capitalista do lucro pelo lucro_ onde fazer saúde não deve pressupor ganho monetário e sim bem comum_ aí poderemos dizer que em nosso país as leis em seus deveres e direitos são para todos. O dia em que o maior servidor público_ a presidência da república_ até o mais simples_ pessoal de serviços gerais_ passando pelos políticos e judiciário_ todos sem exceção usarem_ exclusivamente_ o SUS e porque não a educação pública_ aí teremos tudo funcionando  a contento e sem ambiguidades e muito menos desigualdades. Quando eu desejar para o outro_ o que quero para mim_ todos seremos tratados com o devido respeito que a Carta Maior do país deseja que tenhamos; olhar o outro como se estivesse olhando para um espelho. Só que tudo isso que é possível e não é utópico_ não se aprende nos bancos escolares_ vem do berço familiar e de uma prática assumida pela matriz de raiz cristã_ já que a maioria diz ser de tal confissão_ pois o resumo da lei escriturística é: _amar a Deus sobre todas as coisas e ao próximo como a ti mesmo_. Mas será que os materialistas_ capitalistas e todos os reducionistas descomprometidos com o bem comum quererão tais mudanças?   Dercio 				2013-10-06T01:02:06+0000	1381021326	0	0	0	0	0	0	0	0	166283443520449_246036915545101	https://www.facebook.com/166283443520449/posts/246036915545101
link	post_user_166283443520449	?????????Não vão se pronunciar sobre o que o Sirkis disse???  http://oglobo.globo.com/pais/sirkis-diz-que-rede-deu-mole-faz-duras-criticas-marina-2-10252157	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBpizNwRf0v8JcI&w=154&h=154&url=http%3A%2F%2Foglobo.globo.com%2Fin%2F10252629-f50-d5e%2FFT631A%2F2011-389576258-2011051295703.jpg_20110512-4.jpg	http://oglobo.globo.com/pais/sirkis-diz-que-rede-deu-mole-faz-duras-criticas-marina-2-10252157	oglobo.globo.com	2013-10-06T00:43:29+0000	1381020209	0	0	1	1	0	0	0	1	166283443520449_666738713336953	https://www.facebook.com/166283443520449/posts/666738713336953
status	post_user_166283443520449	Para a REDE_ vale a sabedoria de John Lennon : The dream is over What can I say? THE DREAM IS OVER_ Yesterday....I was the Dreamweaver_ But now I_m reborn_ now I_m John _And so dear friends ...You_ll just have to carry on... Pois _e _ o Sonho acabou_ Marina se mostrou oportunista e carreirita_ como todo outro bom politico do pai_s...				2013-10-06T00:41:41+0000	1381020101	0	0	0	0	0	0	0	0	166283443520449_246033425545450	https://www.facebook.com/166283443520449/posts/246033425545450
photo	post_user_166283443520449	Marina fez bem em se aliar ao outro partido e se candidatar a vice-presidente!	https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-prn1/t1/q71/s480x480/1013140_445674588878742_1367914644_n.jpg	https://www.facebook.com/photo.php?fbid=445674588878742&set=o.166283443520449&type=1	facebook.com	2013-10-06T00:40:16+0000	1381020016	3	3	5	5	0	0	2	10	166283443520449_445674588878742	https://www.facebook.com/166283443520449/posts/445674588878742
status	post_user_166283443520449	Assalamu áleicum (A Paz seja convosco). Gostei muito da ideia deste partido. Pena que não foi aprovado. Mas Inchá Alláh (Se Deus quiser)... Vamos conseguir! 				2013-10-06T00:16:10+0000	1381018570	0	0	0	0	0	0	0	0	166283443520449_246028855545907	https://www.facebook.com/166283443520449/posts/246028855545907
status	post_user_166283443520449	MARINA SILVA COMETEU UM ERRO... PSB NAO É BOM PARTIDO PRA SE FILIAR.  ANTES TIVESSE IDO PRO TAL DO PEN... TERIA MEU VOTO				2013-10-05T23:58:28+0000	1381017508	4	4	0	0	0	0	0	4	166283443520449_246025032212956	https://www.facebook.com/166283443520449/posts/246025032212956
status	post_user_166283443520449	A rede começou muito bem_ a principal representante se filiando a bandidos. O sonho acabou ...				2013-10-05T23:54:12+0000	1381017252	2	2	1	1	0	0	0	3	166283443520449_246024445546348	https://www.facebook.com/166283443520449/posts/246024445546348
link	post_user_166283443520449	http://www.valor.com.br/politica/3014514/para-vice-do-psb-partido-de-marina-e-preconceituoso-e-fundamentalista	https://external.xx.fbcdn.net/safe_image.php?d=AQCalGzBPAlMhlZS&w=154&h=154&url=http%3A%2F%2Fwww.valor.com.br%2Fsites%2Fdefault%2Ffiles%2Fcapa04_26.jpg&l	http://www.valor.com.br/politica/3014514/para-vice-do-psb-partido-de-marina-e-preconceituoso-e-fundamentalista	valor.com.br	2013-10-05T23:31:39+0000	1381015899	0	0	0	0	0	0	0	0	166283443520449_386945438101481	https://www.facebook.com/166283443520449/posts/386945438101481
link	post_user_166283443520449	http://www.valor.com.br/politica/3014514/para-vice-do-psb-partido-de-marina-e-preconceituoso-e-fundamentalista	https://external.xx.fbcdn.net/safe_image.php?d=AQCalGzBPAlMhlZS&w=154&h=154&url=http%3A%2F%2Fwww.valor.com.br%2Fsites%2Fdefault%2Ffiles%2Fcapa04_26.jpg&l	http://www.valor.com.br/politica/3014514/para-vice-do-psb-partido-de-marina-e-preconceituoso-e-fundamentalista	valor.com.br	2013-10-05T23:30:34+0000	1381015834	0	0	0	0	0	0	0	0	166283443520449_386945151434843	https://www.facebook.com/166283443520449/posts/386945151434843
link	post_user_166283443520449	e a Rede_ que já estava toda emaranhada_ enroscou de vez nessa curva de rio sujo...  a grande surpresa: - quem diria que quem mataria a Rede seria a própria Marina...  _MARINA NO PSB É PRAGMATISMO NA VEIA E A MORTE DA REDE_ | Revista Fórum - outro mundo em debate | Blog do Rovai | 05/10/2013  _(...) Marina acaba de matar o que poderia vir a ser a Rede Sustentabilidade. Porque não fará sentido para muitos daqueles que a acompanharam integrar um projeto como o do PSB_ que em vários lugares tem no comando do partido políticos altamente vinculados com o conservadorismo e a velha política. Em Santa Catarina_ por exemplo_ Campos acaba de entregar o partido aos Bornhausen.  O fato é que Marina se pintou. Se pintou para a guerra. Sua decisão de ir para o PSB é muito mais uma ação pragmática para tirar o PT do governo federal do que qualquer outra coisa. Ela faz parte de um projeto onde estarão não só Campos_ mas Roberto Freire_ Serra_ Aécio_ Borhausen etc.  Por fim_ se Marina se filiou ao PSB por “questões programáticas”_ imagino que a questão ambiental não esteja entre elas. Na votação do código florestal o partido liberou sua bancada para votar a favor ou contra o código. E a bancada se dividiu praticamente ao meio. Ou seja_ metade votou com os ruralistas. É esse o programático de Marina? Ou seria o pragmático…  http://revistaforum.com.br/blogdorovai/2013/10/05/marina-no-psb-e-pragmatismo-na-veia-e-a-morte-da-rede/	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBaHta6VTSvep3r&w=154&h=154&url=http%3A%2F%2Frevistaforum.com.br%2Fbanner%2Fforum-cultura3.gif	http://revistaforum.com.br/blogdorovai/2013/10/05/marina-no-psb-e-pragmatismo-na-veia-e-a-morte-da-rede/	revistaforum.com.br	2013-10-05T22:42:09+0000	1381012929	1	1	0	0	0	0	0	1	166283443520449_10152343979554968	https://www.facebook.com/166283443520449/posts/10152343979554968
status	post_user_166283443520449	Vocês aí da #REDE_ por favor me expliquem! O Ronaldo Caiado da UDR que se titubear derruba até o Parque do Ibirapuera vai apoiar o Campos? E a Marina vai fazer a política sustentável ao lado do Caiado? 				2013-10-05T21:58:56+0000	1381010336	1	1	0	0	0	0	0	1	166283443520449_246006162214843	https://www.facebook.com/166283443520449/posts/246006162214843
status	post_user_166283443520449	pra min marina silva _ agora e uma vendida _ desepiçao com ela _ vendida.				2013-10-05T21:35:13+0000	1381008913	1	1	1	1	0	0	0	2	166283443520449_246002018881924	https://www.facebook.com/166283443520449/posts/246002018881924
status	post_user_166283443520449	e a Rede_ que já estava toda emaranhada_ enroscou de vez nessa curva de rio sujo...				2013-10-05T20:04:34+0000	1381003474	2	2	0	0	0	0	0	2	166283443520449_245986285550164	https://www.facebook.com/166283443520449/posts/245986285550164
status	post_user_166283443520449	Marina vc vice????? já perdeu meu voto... Queria tanto votar na Marina_ mas com Eduardo Campo aí num dar... Que incompetencia desse povo da Rede hemmmm...				2013-10-05T19:45:17+0000	1381002317	1	1	1	1	0	0	0	2	166283443520449_245983065550486	https://www.facebook.com/166283443520449/posts/245983065550486
status	post_user_166283443520449	Não sei que derrota foi maior... a incompetência da Rede para registrar o partido no TSE ou Marina Blablablá Oportunista Silva se filiar ao PSB. A máscara da _nova política_ caiu... 				2013-10-05T18:50:17+0000	1380999017	1	1	0	0	0	0	0	1	166283443520449_245973748884751	https://www.facebook.com/166283443520449/posts/245973748884751
status	post_user_166283443520449	Patrimônio eleitoral de 20 milhões de votos_ antes da REDE_ segunda colocada nas pesquisas presidenciais_ vai ser VICE do EC_ Porquê ? Deus ilumine vc Marina ... 				2013-10-05T17:05:10+0000	1380992710	2	2	0	0	0	0	0	2	166283443520449_245950535553739	https://www.facebook.com/166283443520449/posts/245950535553739
photo	post_user_166283443520449	Um Brasil com ordem e progresso	https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-ash3/t1/q71/s480x480/9413_748627658497387_117070624_n.jpg	https://www.facebook.com/photo.php?fbid=748627658497387&set=o.166283443520449&type=1	facebook.com	2013-10-05T17:04:19+0000	1380992659	0	0	1	1	0	0	0	1	166283443520449_748627658497387	https://www.facebook.com/166283443520449/posts/748627658497387
